time,device_id,lat,lon,speed,event_time
2021-10-23 12:30:03.417365+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:29:56+00:00
2021-10-23 12:30:03.806927+00:00,25029,27.88547706604004,76.26883697509766,35,2021-10-23 12:30:00+00:00
2021-10-23 12:30:05.685321+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:30:02+00:00
2021-10-23 12:30:10.286325+00:00,25029,27.885459899902344,76.26817321777344,38,2021-10-23 12:30:06+00:00
2021-10-23 12:30:15.194160+00:00,20984,21.61501693725586,78.43660736083984,0,2021-10-23 12:30:11+00:00
2021-10-23 12:30:15.673724+00:00,25029,27.885478973388672,76.26753234863281,38,2021-10-23 12:30:12+00:00
2021-10-23 12:30:22.098567+00:00,25029,27.88551902770996,76.26690673828125,34,2021-10-23 12:30:18+00:00
2021-10-23 12:30:28.671053+00:00,25029,27.88553237915039,76.26637268066406,16,2021-10-23 12:30:25+00:00
2021-10-23 12:30:34.978500+00:00,25029,27.885522842407227,76.2662124633789,9,2021-10-23 12:30:31+00:00
2021-10-23 12:30:40.481351+00:00,25029,27.88552474975586,76.2659683227539,16,2021-10-23 12:30:37+00:00
2021-10-23 12:30:41.374119+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:30:38+00:00
2021-10-23 12:30:43.480235+00:00,20984,21.61501693725586,78.43660736083984,0,2021-10-23 12:30:39+00:00
2021-10-23 12:30:43.487380+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:30:40+00:00
2021-10-23 12:30:47.183580+00:00,25029,27.88554573059082,76.26570892333984,13,2021-10-23 12:30:43+00:00
2021-10-23 12:30:51.080576+00:00,6888,19.73907470703125,76.18155670166016,5,2021-10-23 12:30:47+00:00
2021-10-23 12:30:52.579354+00:00,25029,27.88556289672852,76.2654037475586,24,2021-10-23 12:30:49+00:00
2021-10-23 12:30:54.203825+00:00,20984,21.61501693725586,78.43660736083984,0,2021-10-23 12:30:50+00:00
2021-10-23 12:30:54.659455+00:00,6888,19.739059448242188,76.18159484863281,4,2021-10-23 12:30:51+00:00
2021-10-23 12:30:57.184637+00:00,6888,19.73905563354492,76.18161010742188,0,2021-10-23 12:30:53+00:00
2021-10-23 12:30:58.481046+00:00,25029,27.88554000854492,76.26492309570312,29,2021-10-23 12:30:55+00:00
2021-10-23 12:31:04.580531+00:00,25029,27.88548851013184,76.2644271850586,32,2021-10-23 12:31:01+00:00
2021-10-23 12:31:10.500593+00:00,25029,27.88541030883789,76.26387023925781,33,2021-10-23 12:31:07+00:00
2021-10-23 12:31:11.179065+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:31:08+00:00
2021-10-23 12:31:16.279016+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:31:10+00:00
2021-10-23 12:31:16.382565+00:00,25029,27.88534927368164,76.26329803466797,33,2021-10-23 12:31:13+00:00
2021-10-23 12:31:19.394397+00:00,20984,21.61501693725586,78.43660736083984,0,2021-10-23 12:31:14+00:00
2021-10-23 12:31:25.874215+00:00,25029,27.88533592224121,76.26272583007812,32,2021-10-23 12:31:19+00:00
2021-10-23 12:31:32.066041+00:00,25029,27.885303497314453,76.26179504394531,35,2021-10-23 12:31:29+00:00
2021-10-23 12:31:37.570727+00:00,6888,19.73882293701172,76.18205261230469,5,2021-10-23 12:31:33+00:00
2021-10-23 12:31:39.787609+00:00,20984,21.61501693725586,78.43660736083984,0,2021-10-23 12:31:35+00:00
2021-10-23 12:31:40.696785+00:00,6888,19.73881721496582,76.18207550048828,6,2021-10-23 12:31:35+00:00
2021-10-23 12:31:40.971143+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:31:38+00:00
2021-10-23 12:31:43.189806+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:31:40+00:00
2021-10-23 12:31:44.898530+00:00,6888,19.738815307617188,76.1821517944336,6,2021-10-23 12:31:40+00:00
2021-10-23 12:31:51.392423+00:00,20984,21.61501693725586,78.43660736083984,0,2021-10-23 12:31:47+00:00
2021-10-23 12:31:55.993747+00:00,24809,18.98970603942871,77.75823211669922,0,2021-10-23 12:31:52+00:00
2021-10-23 12:31:56.509068+00:00,20984,21.61501693725586,78.43660736083984,0,2021-10-23 12:31:53+00:00
